timestamp ba_x ba_y ba_z bg_x bg_y bg_z
477.748000 0.72006506 0.02342006 0.03049325 -0.00162783 0.00154924 0.00177564
478.292000 0.71506226 0.02378010 0.02990812 -0.00162691 0.00157532 0.00177076
478.528000 0.71505989 0.02289574 0.02990190 -0.00163425 0.00157824 0.00177430
478.840000 0.71693091 0.02016520 0.03017948 -0.00163926 0.00157454 0.00176892
479.476000 0.71504060 0.02780852 0.02995343 -0.00165184 0.00159219 0.00178378
481.468000 0.71465927 0.02926297 0.02990479 -0.00166277 0.00160585 0.00177000
482.160000 0.72154617 0.02744536 0.03105932 -0.00168977 0.00159931 0.00175590
482.968000 0.71124346 0.02916344 0.02972715 -0.00168922 0.00161881 0.00178421
483.312000 0.69933158 0.03128658 0.02838685 -0.00166292 0.00164399 0.00178623
483.864000 0.68962195 0.03157102 0.02733907 -0.00164457 0.00168229 0.00178541
484.444000 0.68747710 0.03214833 0.02708681 -0.00168240 0.00167222 0.00183761
484.800000 0.68977110 0.03413998 0.02736214 -0.00166951 0.00167915 0.00180406
485.392000 0.68948988 0.03612060 0.02731895 -0.00167271 0.00169031 0.00180079
486.008000 0.68916867 0.03973708 0.02731986 -0.00167312 0.00168836 0.00177840
486.548000 0.68860111 0.04074835 0.02721741 -0.00169052 0.00168198 0.00182607
487.324000 0.68778303 0.04339016 0.02718131 -0.00170659 0.00169065 0.00181229
487.848000 0.68856777 0.04644636 0.02726035 -0.00171952 0.00169904 0.00182142
488.136000 0.68484812 0.04194913 0.02720966 -0.00172287 0.00170101 0.00181295
488.652000 0.68462551 0.04218668 0.02735316 -0.00173196 0.00170164 0.00184323
489.256000 0.68444545 0.03895501 0.02753063 -0.00173928 0.00170193 0.00185472
490.044000 0.68288359 0.03932604 0.02751945 -0.00174151 0.00171306 0.00185828
490.344000 0.68276535 0.03971910 0.02759644 -0.00175216 0.00172026 0.00185702
490.932000 0.68173416 0.04077356 0.02751759 -0.00176187 0.00173471 0.00186443
491.584000 0.68164700 0.04287625 0.02753943 -0.00177518 0.00172797 0.00186887
491.784000 0.68000402 0.04437163 0.02733777 -0.00178396 0.00173561 0.00186972
492.244000 0.67707886 0.04487937 0.02702356 -0.00178953 0.00173232 0.00186177
492.924000 0.67854606 0.04341774 0.02720720 -0.00181034 0.00172585 0.00183412
